            3.500000         4009.302048
            3.513430         3169.484652
            3.526912         2361.268091
            3.540446         1584.054657
            3.554031          837.272155
            3.567669          120.357010
            3.581359         -567.229257
            3.595101        -1226.024857
            3.608896        -1856.574795
            3.622744        -2459.443409
            3.636646        -3035.191708
            3.650600        -3584.361468
            3.664608        -4107.459371
            3.678670        -4604.968525
            3.692786        -5077.363123
            3.706956        -5525.137448
            3.721180        -5948.788967
            3.735459        -6348.808456
            3.749793        -6725.682043
            3.764182        -7079.875729
            3.778626        -7411.831730
            3.793125        -7721.952375
            3.807680        -8010.625075
            3.822291        -8278.231966
            3.836958        -8525.200799
            3.851682        -8752.015523
            3.866461        -8959.152488
            3.881298        -9147.074462
            3.896191        -9316.217002
            3.911142        -9467.007977
            3.926150        -9599.871605
            3.941215        -9715.221527
            3.956338        -9813.434946
            3.971520        -9894.830966
            3.986759        -9959.728251
            4.002057       -10008.479058
            4.017414       -10041.454440
            4.032830       -10059.034350
            4.048305       -10061.587370
            4.063839       -10049.435869
            4.079433       -10022.957353
            4.095086        -9982.503986
            4.110800        -9928.446738
            4.126574        -9861.195509
            4.142409        -9781.074035
            4.158304        -9688.188386
            4.174260        -9582.565071
            4.190278        -9464.319483
            4.206357        -9333.713184
            4.222498        -9191.306668
            4.238700        -9038.033597
            4.254965        -8874.630150
            4.271292        -8701.316587
            4.287682        -8518.134080
            4.304135        -8325.177418
            4.320651        -8122.624148
            4.337230        -7910.720651
            4.353873        -7689.854801
            4.370580        -7461.174237
            4.387351        -7225.904278
            4.404186        -6981.604807
            4.421086        -6727.724271
            4.438050        -6464.644646
            4.455080        -6192.900333
            4.472175        -5912.941319
            4.489336        -5625.125090
            4.506562        -5329.715980
            4.523855        -5026.989247
            4.541214        -4717.275877
            4.558640        -4403.457544
            4.576132        -4126.199084
            4.593692        -3874.722545
            4.611319        -3641.287555
            4.629013        -3424.220841
            4.646776        -3221.408284
            4.664607        -3032.180947
            4.682506        -2855.602816
            4.700474        -2691.147085
            4.718510        -2539.327304
            4.736616        -2399.589208
            4.754792        -2270.858356
            4.773037        -2152.459676
            4.791352        -2043.818533
            4.809737        -1944.100971
            4.828193        -1852.323294
            4.846720        -1767.737064
            4.865318        -1689.861390
            4.883988        -1618.347010
            4.902728        -1552.868839
            4.921541        -1493.071261
            4.940426        -1438.564884
            4.959384        -1388.972159
            4.978414        -1343.964330
            4.997517        -1303.243687
            5.016694        -1266.511708
            5.035944        -1233.463282
            5.055268        -1203.816297
            5.074666        -1177.330774
            5.094139        -1153.772723
            5.113686        -1132.831207
            5.133308        -1114.134641
            5.153006        -1097.430133
            5.172779        -1082.589531
            5.192628        -1069.516148
            5.212554        -1058.138153
            5.232555        -1048.324658
            5.252634        -1039.617207
            5.272789        -1031.780749
            5.293022        -1024.844565
            5.313332        -1018.767973
            5.333721        -1013.437807
            5.354188        -1008.598036
            5.374733        -1004.215746
            5.395357        -1000.719037
            5.416060         -997.945073
            5.436843         -995.714853
            5.457705         -993.948819
            5.478647         -992.589667
            5.499670         -991.650097
            5.520773         -991.097758
            5.541958         -990.629596
            5.563224         -990.264275
            5.584571         -990.032639
            5.606000         -989.911020
            5.627511         -989.855364
            5.649105         -989.769059
            5.670782         -989.612786
            5.692542         -989.582913
            5.714386         -989.651243
            5.736313         -989.770570
            5.758325         -989.944184
            5.780421         -990.209584
            5.802601         -990.616397
            5.824867         -991.021738
            5.847218         -991.240067
            5.869656         -991.300418
            5.892179         -991.254493
            5.914788         -991.133294
            5.937485         -990.977531
            5.960268         -990.778862
            5.983139         -990.436025
            6.006097         -989.923821
            6.029144         -989.312590
            6.052279         -988.654756
            6.075503         -987.934571
            6.098816         -987.124565
            6.122219         -986.220222
            6.145711         -985.248387
            6.169293         -984.209190
            6.192966         -983.084302
            6.216730         -981.858947
            6.240585         -980.554199
            6.264532         -979.188286
            6.288570         -977.736833
            6.312700         -976.170258
            6.336924         -974.495760
            6.361240         -972.729352
            6.385649         -970.880154
            6.410152         -968.946933
            6.434750         -966.255397
            6.459441         -964.799619
            6.484227         -962.596884
            6.509109         -960.648549
            6.534086         -958.728526
            6.559158         -956.837794
            6.584327         -954.941015
            6.609593         -953.031873
            6.634955         -951.109824
            6.660415         -949.174341
            6.685972         -947.220490
            6.711628         -945.238153
            6.737382         -943.213397
            6.763235         -941.132688
            6.789187         -938.990463
            6.815238         -936.768660
            6.841390         -934.539897
            6.867642         -932.257371
            6.893994         -929.959284
            6.920448         -928.238297
            6.947003         -925.501548
            6.973661         -924.351237
            7.000420         -921.230309
            7.027282         -918.642017
            7.054247         -918.692987
            7.081316         -916.908933
            7.108489         -915.135427
            7.135765         -913.400448
            7.163147         -911.835980
            7.190633         -911.203933
            7.218225         -911.299446
            7.245923         -906.945849
            7.273728         -905.388137
            7.301638         -903.452681
            7.329656         -911.324296
            7.357782         -910.848269
            7.386015         -910.187506
            7.414357         -909.338390
            7.442808         -902.178144
            7.471367         -904.286089
            7.500036         -895.752691
            7.528816         -901.677538
            7.557705         -902.187256
            7.586706         -900.308098
            7.615818         -898.278814
            7.645041         -896.051231
            7.674377         -893.651527
            7.703825         -891.202957
            7.733387         -888.814390
            7.763061         -886.507115
            7.792850         -879.860295
            7.822753         -882.076950
            7.852770         -879.937532
            7.882903         -877.847859
            7.913151         -875.816189
            7.943516         -873.848962
            7.973997         -871.903496
            8.004595         -869.896220
            8.035310         -867.784613
            8.066143         -865.629929
            8.097095         -863.507023
            8.128165         -861.439729
            8.159355         -859.425843
            8.190664         -857.462829
            8.222093         -855.544634
