3.5707  1.0155  -2.26387888
3.5707  1.0313  -2.77284859
3.5707  1.0472  -3.28181829
3.5707  1.0631  -3.70563640
3.5707  1.0789  -4.29421252
3.5707  1.0948  -6.01169739
3.5707  1.1107  -7.72918227
3.5707  1.1265  -9.44666714
3.5707  1.1424  -11.10226277
3.5707  1.1583  -11.93910284
3.5707  1.1741  -18.09030494
3.5707  1.1900  -24.24150704
3.5707  1.2059  -30.39270914
3.5707  1.2217  -36.54391124
3.5707  1.2376  -41.39394104
3.5707  1.2535  -45.83838548
3.5707  1.2693  -50.25252695
3.5707  1.2852  -54.66666842
3.5707  1.3011  -59.08080989
3.5707  1.3169  -64.34343679
3.5707  1.3328  -67.55555617
3.5707  1.3487  -69.28282871
3.5707  1.3645  -71.01010125
3.5707  1.3804  -72.73737379
3.5707  1.3963  -74.94949475
3.5707  1.4121  -76.82626256
3.5707  1.4280  -77.32525247
3.5707  1.4439  -77.82424237
3.5707  1.4597  -78.32323228
3.5707  1.4756  -78.90303024
3.5707  1.4915  -79.60000000
3.5707  1.5073  -79.60000000
3.5707  1.5232  -79.60000000
3.5707  1.5391  -79.60000000
3.5707  1.5549  -79.60000000
3.5707  1.5708  -79.60000000
3.6414  0.0000  -79.60000000
3.6414  0.0159  -79.38888889
3.6414  0.0317  -79.17777777
3.6414  0.0476  -78.96666666
3.6414  0.0635  -78.52828280
3.6414  0.0793  -78.02929289
3.6414  0.0952  -76.63636351
3.6414  0.1111  -75.00505036
3.6414  0.1269  -73.37373720
3.6414  0.1428  -71.68686848
3.6414  0.1587  -69.95959573
3.6414  0.1745  -64.23232202
3.6414  0.1904  -55.59595827
3.6414  0.2063  -46.95959452
3.6414  0.2221  -38.39393789
3.6414  0.2380  -29.94949333
3.6414  0.2539  -23.08252440
3.6414  0.2697  -18.91979708
3.6414  0.2856  -14.75706975
3.6414  0.3015  -10.64113038
3.6414  0.3173  -6.77472629
3.6414  0.3332  -3.45959586
3.6414  0.3491  -3.08458576
3.6414  0.3649  -2.70957565
3.6414  0.3808  -2.33456554
3.6414  0.3967  -1.94410089
3.6414  0.4125  -1.55277765
3.6414  0.4284  -1.45490907
3.6414  0.4443  -1.37334343
3.6414  0.4601  -1.29177778
3.6414  0.4760  -1.20271718
3.6414  0.4919  -1.11097982
3.6414  0.5077  -1.06293940
3.6414  0.5236  -1.03050506
3.6414  0.5395  -0.99807071
3.6414  0.5553  -0.96381819
3.6414  0.5712  -0.92792930
3.6414  0.5871  -0.90426263
3.6414  0.6029  -0.89159596
3.6414  0.6188  -0.87892930
3.6414  0.6347  -0.86814142
3.6414  0.6505  -0.86142424
3.6414  0.6664  -0.85646465
3.6414  0.6823  -0.85531313
3.6414  0.6981  -0.85416162
3.6414  0.7140  -0.85484849
3.6414  0.7299  -0.87116162
3.6414  0.7457  -0.88733333
3.6414  0.7616  -0.90230303
3.6414  0.7775  -0.91727273
3.6414  0.7933  -0.93224243
3.6414  0.8092  -0.96575758
3.6414  0.8251  -1.00145455
3.6414  0.8409  -1.03801010
3.6414  0.8568  -1.07466667
3.6414  0.8727  -1.11132324
3.6414  0.8885  -1.16321213
3.6414  0.9044  -1.22213132
3.6414  0.9203  -1.29181819
3.6414  0.9361  -1.36647476
3.6414  0.9520  -1.44113133
3.6414  0.9679  -1.52760608
3.6414  0.9837  -1.62721214
3.6414  0.9996  -1.92072736
3.6414  1.0155  -2.42969707
3.6414  1.0313  -2.93866677
3.6414  1.0472  -3.36248489
3.6414  1.0631  -3.54787883
3.6414  1.0789  -4.13645495
3.6414  1.0948  -5.85393982
3.6414  1.1107  -7.57142469
